URL,UrlLength,isornotHttps,KeywordAppearTimes,CryptFunctionAppearTimes,DynamicFunctionAppearTimes,CPUlimits,Label
http://ww82.ledhenone.com/,26,1,7,0,0,1,0
http://cpufan.club/,19,1,9,0,0,0,0
http://ww38.cryptobara.com/,27,1,7,0,0,1,0
http://videowow.tv/,19,1,2,1,0,0,0
http://foodhope.com/,20,1,0,0,0,0,0
https://amamarine.co.th/,24,1,3,1,0,0,0
https://familytube.online/,26,1,1,0,0,1,0
http://www.ekonomianaliz.com/,29,1,1,0,0,0,0
https://trypolball.com/,23,1,1,1,0,0,0
http://www.english-trainer.net/,31,1,0,0,0,0,0
https://colleencollection.com.au/,33,1,1,0,0,0,0
https://lanchuangclub.com/,26,1,1,0,0,0,0
http://datacenter-digiarty.com/,31,1,1,1,0,0,0
http://kingfung.com/,20,1,0,0,0,1,0
https://fishingua.com/,22,1,0,0,0,0,0
http://myscorebet.ru/,21,1,1,0,0,1,0
http://russiannurse.ru/,23,1,2,0,0,1,0
https://vashatolstovka.ru/,26,1,1,0,0,0,0
https://dtsilicone.net/,23,1,1,0,0,0,0
https://bannerreklama.ru/,25,1,1,14,0,0,0
http://bewaslac.com/,20,1,7,0,0,1,0
http://imagepost.ru/,20,1,2,0,0,0,0
https://seinfeld-episode.blogspot.com/,38,1,1,1,0,0,0
http://rubanmag.com/,20,1,0,0,0,1,0
http://mashonline.blogspot.com/,31,1,1,1,0,0,0
http://indie-mag.com/,21,1,1,0,0,0,0
https://www.thctalk.com/cannabis-forum/index.php,48,1,1,9,0,0,0
http://mov3.co/,15,1,1,0,0,0,0
http://educatenepal.com/,24,1,1,1,1,1,0
http://www.indocyber.link/,26,1,1,0,0,1,0
https://www.prachakij.com/,26,1,0,0,0,0,0
https://www.urquellwasser.eu/,29,1,1,0,0,0,0
http://www.atk-exotics.com/,27,1,3,0,0,1,0
https://www.grupobancolombia.com/,33,1,0,0,0,1,0
http://www.romafaschifo.com/,28,1,0,1,0,0,0
https://www.amnesty.it/,23,1,0,7,0,0,0
https://www.ingalera.it/,24,1,0,0,0,1,0
http://www.carloneworld.it/,27,1,0,0,0,0,0
https://lanuovaumanita.net/,27,1,0,0,0,0,0
http://www.igz.it/,18,1,0,0,0,0,0
https://www.tuttocalciocampano.it/,34,1,0,0,0,0,0
https://wide.it//,17,1,0,0,0,0,0
https://newslist.it/,20,1,0,0,0,0,0
http://robot-capital.com/,25,1,0,0,0,0,0
https://www.ilsudonline.it/,27,1,0,1,0,0,0
https://ilportiere.com/,23,1,0,0,0,0,0
https://kosmosol.it/,20,1,0,2,0,0,0
https://www.buoni-pasto.it/,27,1,0,0,0,0,0
https://www.historiaregni.it/,29,1,0,0,0,0,0
https://iorifletto.wordpress.com/,33,1,0,2,0,0,0
https://www.linkedbusiness.it/,30,1,0,0,0,1,0
http://www.suffermagazine.com/,30,1,0,0,0,1,0
https://www.futbolmallorca.com/,31,1,0,1,1,1,0
https://experimentemos.wordpress.com/,37,1,4,2,0,0,0
http://mcfc-fan.ru/,19,1,1,0,0,1,0
http://karaotecamidi.blogspot.com/,34,1,1,1,1,1,0
https://www.rednubes.de/,24,1,1,0,0,0,0
http://www.space-forums.net/,28,1,1,0,0,0,0
http://www.space-blogs.net/,27,1,1,0,0,0,0
https://firmat24.com.ar/,24,1,1,1,0,0,0
https://onsoni.blogspot.com/,28,1,1,0,0,1,0
http://owl.ru/,14,1,1,0,0,0,0
http://leasedadspace.com/,25,1,0,0,0,0,0
https://www.io-media.com/,25,1,2,20,0,0,0
http://wtis.cn/,15,1,2,0,0,0,0
https://rus-liter.ru/,21,1,1,2,0,0,0
http://easygames.su/,20,1,1,4,0,0,0
http://lovingorphansglobal.org/,31,1,1,0,0,0,0
http://mcflending.net/,22,1,1,0,0,0,0
http://moddidaypeople.com/,26,1,0,0,0,0,0
http://camerahacker.com/,24,1,0,0,0,0,0
http://char7nas-1er.blogspot.com/,33,1,3,4,4,1,0
http://directlstk.ru/,21,1,3,8,8,1,0
https://www.rednubes.de/,24,1,1,0,0,0,0
http://www.space-forums.net/,28,1,1,0,0,0,0
